record,time,latitude,longitude,satellites,altitude_m
63,1900-01-01 07:10:20,21.07405833333333,105.76981166666668,10,15.0
64,1900-01-01 07:10:30,21.074108333333335,105.76986166666666,10,15.0
65,1900-01-01 07:10:40,21.074158333333337,105.76991166666667,10,15.0
66,1900-01-01 07:40:50,21.07180166666667,105.76782,11,15.0
67,1900-01-01 07:41:00,21.071851666666664,105.76787,11,15.0
68,1900-01-01 07:41:10,21.07190166666667,105.76791999999999,11,15.0
69,1900-01-01 07:41:20,21.07195166666667,105.76797,11,15.0
70,1900-01-01 07:41:30,21.072001666666665,105.76802,11,15.0
71,1900-01-01 08:11:40,21.073991666666664,105.76528333333333,10,15.0
72,1900-01-01 08:11:50,21.07404166666667,105.76533333333333,10,15.0
73,1900-01-01 08:12:00,21.074091666666664,105.76538333333335,10,15.0
74,1900-01-01 08:12:10,21.074141666666666,105.76543333333332,10,15.0
75,1900-01-01 08:12:20,21.074191666666668,105.76548333333334,10,15.0
76,1900-01-01 08:42:30,21.074646666666663,105.77146333333333,7,15.0
77,1900-01-01 08:42:40,21.074696666666668,105.77151333333335,7,15.0
78,1900-01-01 08:42:50,21.07474666666667,105.77156333333332,7,15.0
79,1900-01-01 08:43:00,21.074796666666664,105.77161333333333,7,15.0
80,1900-01-01 08:43:10,21.074846666666666,105.77166333333335,7,15.0
81,1900-01-01 09:13:20,21.07763166666667,105.77574666666666,12,15.0
82,1900-01-01 09:13:30,21.077681666666663,105.77579666666666,12,15.0
83,1900-01-01 09:13:40,21.07773166666667,105.77584666666668,12,15.0
84,1900-01-01 09:13:50,21.07778166666667,105.77589666666667,12,15.0
85,1900-01-01 09:14:00,21.077831666666665,105.77594666666667,12,15.0
86,1900-01-01 09:44:10,21.074601666666663,105.77982333333333,10,15.0
87,1900-01-01 09:44:20,21.074651666666668,105.77987333333334,10,15.0
88,1900-01-01 09:44:30,21.07470166666667,105.77992333333334,10,15.0
89,1900-01-01 09:44:40,21.074751666666664,105.77997333333333,10,15.0
90,1900-01-01 09:44:50,21.074801666666666,105.78002333333333,10,15.0
91,1900-01-01 10:15:00,21.064923333333333,105.76947833333334,8,15.0
92,1900-01-01 10:15:10,21.064973333333334,105.76952833333334,8,15.0
93,1900-01-01 10:15:20,21.065023333333336,105.76957833333333,8,15.0
94,1900-01-01 10:15:30,21.06507333333333,105.76962833333333,8,15.0
95,1900-01-01 10:15:40,21.065123333333336,105.76967833333335,8,15.0
96,1900-01-01 10:45:50,21.069601666666667,105.77924666666668,10,15.0
97,1900-01-01 10:46:00,21.069651666666665,105.77929666666665,10,15.0
98,1900-01-01 10:46:10,21.069701666666667,105.77934666666667,10,15.0
99,1900-01-01 10:46:20,21.06975166666667,105.77939666666667,10,15.0
100,1900-01-01 10:46:30,21.069801666666663,105.77944666666666,10,15.0
